order_id,customer_id,category,quantity,unit_price,order_date,status
1001,7,,1.0,222.11,2024-02-18,completed
1002,20,Books,3.0,363.79,2024-10-18,completed
1003,15,Sports,4.0,298.67,2024-03-18,cancelled
1004,11,Sports,2.0,326.9,2024-04-14,completed
1005,8,Sports,2.0,242.24,2024-06-17,completed
1006,7,Clothing,5.0,309.79,2024-08-04,pending
1007,19,Electronics,5.0,167.86,2024-04-28,completed
1008,11,Clothing,2.0,237.74,2024-07-08,
1009,11,Sports,5.0,373.42,2024-09-11,completed
1010,4,Electronics,3.0,436.56,2024-09-22,cancelled
1011,8,Home,2.0,219.66,2024-05-28,completed
1012,3,Electronics,5.0,26.61,2024-06-12,pending
1013,2,Home,2.0,85.03,2024-05-19,completed
1014,12,Sports,,15.33,2024-09-14,completed
1015,6,Sports,1.0,328.37,2024-09-25,completed
1016,2,Electronics,2.0,169.5,2024-06-29,completed
1017,1,Sports,1.0,273.53,2024-06-08,completed
1018,12,Home,5.0,,2024-10-14,pending
1019,12,Clothing,1.0,45.36,2024-10-14,completed
1020,17,Books,2.0,204.61,2024-08-13,cancelled
1021,10,Home,4.0,,2024-01-11,COMPLETED
1022,16,Clothing,5.0,212.11,2024-01-10,cancelled
1023,15,Books,2.0,,2024-09-27,completed
1024,15,Electronics,5.0,421.02,2024-09-29,completed
1025,19,Clothing,3.0,91.23,2024-07-01,cancelled
1026,12,Clothing,1.0,480.59,2024-06-01,
1027,20,Clothing,3.0,210.87,2024-05-03,completed
1028,3,Clothing,2.0,423.89,2024-04-23,completed
1029,5,Home,4.0,316.24,2024-10-04,completed
1030,19,Books,5.0,369.0,2024-07-31,
1031,7,Books,1.0,385.02,2024-06-20,completed
1032,9,Sports,5.0,254.9,2024-10-14,completed
1033,7,Books,2.0,273.93,2024-06-22,pending
1034,18,Books,5.0,259.43,2024-04-22,completed
1035,4,Electronics,1.0,296.09,2024-05-01,completed
1036,14,Clothing,2.0,19.55,2024-02-01,COMPLETED
1037,18,Home,5.0,,2024-08-09,pending
1038,9,Electronics,4.0,305.06,2024-04-28,completed
1039,2,Home,2.0,300.87,2024-02-08,completed
1040,20,Clothing,2.0,397.51,2024-09-24,completed
1041,15,Sports,4.0,329.23,2024-08-20,completed
1042,7,,3.0,496.11,2024-01-18,COMPLETED
1043,12,Home,1.0,145.51,2024-05-28,completed
1044,8,Clothing,3.0,182.78,2024-05-28,completed
1045,15,Electronics,5.0,195.0,2024-05-05,completed
1046,3,Sports,4.0,235.58,2024-08-25,COMPLETED
1047,14,Sports,3.0,418.82,2024-05-14,completed
1048,17,Clothing,2.0,121.72,2024-05-30,pending
1049,4,Books,5.0,389.12,2024-08-23,completed
1050,18,Electronics,5.0,205.63,2024-08-11,pending
1051,8,Electronics,,302.92,2024-07-21,pending
